EAN,Price,Quantity
8596475061513,37.76,5
8596475061537,37.76,3
8596475062268,40.69,7
8596475062633,24.48,211
8596475062671,40.69,11
8596475062749,40.69,20
8596475062817,40.69,4
8596475062909,40.69,5
8596475062961,40.69,24
8596475062985,34.53,226
8596475063012,40.69,1
8596475063050,40.69,15
8596475063081,,0
8596475063104,40.69,5
8596475063135,40.69,4
8596475063302,20.68,739
8596475063340,20.68,269
8596475063401,20.68,42
8596475063425,18.78,83
8596475063463,20.68,62
8596475063494,20.68,89
8596475063531,20.68,159
8596475064231,22.58,4690
8596475064316,34.53,75
8596475064323,34.53,88
8596475064330,34.53,181
8596475064613,20.68,124
8596475065306,35.86,153
8596475065658,20.68,34
8596475065672,20.68,89
8596475065696,20.68,72
8596475065702,20.68,46
8596475065900,20.68,286
8596475065917,20.68,406
8596475065924,20.68,389
8596475065931,20.68,79
8596475066266,20.68,131
8596475066273,20.68,53
8596475066280,20.68,60
8596475066310,20.68,218
8596475066334,20.68,22
8596475066341,20.68,106
8596475066358,20.68,56
8596475066495,20.68,83
8596475066754,35.86,188
8596475066761,35.86,154
8596475067010,20.68,166
8596475067188,28.27,274
8596475067492,20.68,94
8596475068031,60.53,34
8596475068482,23.72,175
8596475068819,35.86,255
8596475069014,18.78,1865
8596475069083,18.78,479
8596475069458,45.35,25
8596475069670,,0
8596475069687,20.68,115
8596475069694,20.68,136
8596475070232,60.53,50
8596475072441,24.48,301
8596475072649,43.45,28
8596475073035,20.68,660
8596475073264,20.68,229
8596475073271,20.68,194
8596475073288,26.37,450
8596475073387,20.68,244
8596475073394,20.68,160
8596475073400,20.68,223
8596475074070,20.68,106
8596475074094,43.45,70
8596475074438,34.53,62
8596475074445,34.53,6
8596475074537,33.21,183
8596475075022,47.25,92
8596475075039,47.25,64
8596475075046,47.25,18
8596475075107,20.68,294
8596475075114,20.68,42
8596475075138,20.68,62
8596475075145,20.68,106
8596475075152,20.68,82
8596475075169,20.68,614
8596475075442,20.68,296
8596475075459,20.68,140
8596475075466,20.68,136
8596475075473,20.68,151
8596475075749,34.53,30
8596475075763,20.68,47
8596475075930,20.68,59
8596475076654,20.68,245
8596475076661,20.68,197
8596475077057,20.68,177
8596475077545,41.55,36
8596475077668,20.68,162
8596475078481,18.78,117
8596475078504,18.78,249
8596475080712,20.68,194
8596475081764,18.78,96
8596475083133,18.78,460
8596475083140,18.78,195
8596475083706,20.68,189
8596475084345,18.78,390
8596475084420,,0
8596475084444,40.69,2
8596475084642,40.69,6
8596475084659,40.69,2
8596475084680,40.69,1
8596475084697,40.69,1
8596475084703,40.69,4
8596475084710,40.69,3
8596475084727,40.69,5
8596475084734,40.69,6
8596475085168,40.69,8
8596475085267,,0
8596475085274,40.69,7
8596475085335,40.69,1
8596475085342,40.69,1
8596475085359,40.69,3
8596475085526,40.69,11
8596475085533,40.69,20
8596475085595,40.69,1
8596475086110,73.81,97
8596475086196,43.45,362
8596475088077,47.25,54
8596475088510,20.68,149
8596475089302,,0
8596475089708,24.48,39
8596475089753,20.68,203
8596475089760,24.48,99
8596475091206,18.78,821
8596475091213,18.78,36
8596475091220,18.78,489
8596475091916,20.68,340
8596475092678,35.86,73
8596475092685,45.35,20
8596475094474,35.10,91
8596475094689,20.68,154
8596475094696,20.68,334
8596475094825,20.68,172
8596475094832,20.68,181
8596475095198,18.78,73
8596475095204,18.78,237
8596475095211,18.78,80
8596475095495,24.48,51
8596475095501,35.10,71
8596475095549,45.35,50
8596475096614,18.78,80
8596475096621,35.10,27
8596475097284,18.78,75
8596475097291,18.78,452
8596475097307,18.78,228
8596475097314,18.78,167
8596475097321,18.78,231
8596475097338,18.78,214
8596475097512,35.10,57
8596475097864,40.69,6
8596475097925,40.69,6
8596475097932,40.69,2
8596475097949,40.69,4
8596475097994,40.69,18
8596475098151,40.69,26
8596475098250,40.69,2
8596475098267,40.69,2
8596475098540,42.52,7
8596475098557,42.52,3
8596475098564,42.52,3
8596475098656,42.52,5
8596475098878,42.52,9
8596475098922,42.52,4
8596475098946,42.52,13
8596475098960,42.52,6
8596475098984,42.52,3
8596475098991,18.78,168
8596475099004,42.52,13
8596475099042,42.52,8
8596475099066,42.52,1
8596475099080,42.52,7
8596475099165,42.52,5
8596475099172,42.52,4
8596475099318,42.52,3
8596475099325,42.52,3
8596475099332,42.52,2
8596475099356,42.52,1
8596475100250,51.04,33
8596475100380,43.45,49
8596475101196,18.78,45
8596475101646,43.45,83
8596475101653,43.45,46
8596475101660,43.45,58
8596475102070,20.68,868
8596475102421,43.45,46
8596475102476,18.78,231
8596475102551,20.68,79
8596475103329,20.68,151
8596475103336,20.68,77
8596475103343,20.68,223
8596475103350,20.68,197
8596475103367,20.68,75
8596475103374,18.94,260
8596475103381,18.94,204
8596475103404,20.68,715
8596475103411,20.68,833
8596475103428,20.68,199
8596475103794,20.68,76
